ray,radius_kpc,ref_accel_mag,ref_selfconv_rel_l2,galax-50_rel_l2,galax-50_angle_deg,galax-100_rel_l2,galax-100_angle_deg,galax-200_rel_l2,galax-200_angle_deg,galax-500_rel_l2,galax-500_angle_deg,galpy-50_rel_l2,galpy-50_angle_deg
y-axis,0.12115276586285877,0.8223596242159139,7.870766077233583e-14,1.5639468704238384e-11,0.0,1.5640008722494106e-11,0.0,1.563636359926797e-11,0.0,1.564419386397597e-11,0.0,3.051103144862178e-14,0.0
y-axis,0.1467799267622069,0.6919585290467778,9.113359421349312e-14,1.5633583015903057e-11,0.0,1.5634385248246482e-11,0.0,1.5630053193591994e-11,0.0,1.563887774936965e-11,0.0,3.6100455454285355e-14,0.0
y-axis,0.1778279410038923,0.5792242008807293,8.548666789646495e-14,1.563696828185463e-11,0.0,1.5637159955997894e-11,0.0,1.5633326473132608e-11,0.0,1.56419518095795e-11,0.0,3.3159626784948817e-14,0.0
y-axis,0.21544346900318823,0.4873066268884164,8.498000341785672e-14,1.5637801513765162e-11,0.0,1.5638257170619946e-11,0.0,1.563461191578167e-11,0.0,1.56425859107404e-11,0.0,3.189597983511778e-14,0.0
y-axis,0.2610157215682536,0.4060126072662527,1.0035448228588547e-13,1.562986880930763e-11,0.0,1.5630689145675084e-11,0.0,1.562617729565409e-11,0.0,1.5635884609335628e-11,0.0,4.005975927760421e-14,0.0
y-axis,0.31622776601683794,0.32893511016440924,1.2673890164489544e-13,1.5618755455806188e-11,0.0,1.5620274297503656e-11,0.0,1.5614030170525185e-11,0.0,1.562668718467073e-11,0.0,5.096557695972513e-14,0.0
y-axis,0.3831186849557285,0.2585627571855024,1.4663409650970605e-13,1.561148603494622e-11,0.0,1.5612988873417027e-11,0.0,1.5605904063483226e-11,0.0,1.5620503065771062e-11,0.0,5.839600915173382e-14,0.0
y-axis,0.46415888336127775,0.20094293835670676,1.4282295969823275e-13,1.561452754273714e-11,0.0,1.561604693592541e-11,0.0,1.560914060325146e-11,0.0,1.5623367648559795e-11,0.0,5.525066139195835e-14,0.0
y-axis,0.5623413251903491,0.15794085387264806,1.187961737328348e-13,1.5621169644012794e-11,0.0,1.562257551589128e-11,0.0,1.5616600560407716e-11,0.0,1.5628726205359655e-11,0.0,4.850257980807472e-14,0.0
y-axis,0.6812920690579608,0.12594740348892738,1.106279174724884e-13,1.5625642407243252e-11,0.0,1.562696465326881e-11,0.0,1.5621675669166576e-11,0.0,1.563313513472142e-11,0.0,4.385449318132023e-14,0.0
y-axis,0.8254041852680182,0.10031526749415048,1.211873568532908e-13,1.5621686670451572e-11,0.0,1.5623070087767238e-11,0.0,1.5617259735041434e-11,0.0,1.562984883261401e-11,0.0,4.8004580853980375e-14,0.0
y-axis,1.0,0.07843894939746913,1.4277823513619394e-13,1.5613074245528792e-11,0.0,1.5615020417259257e-11,0.0,1.5607943429148465e-11,0.0,1.5622805104181134e-11,0.0,5.643898018393973e-14,0.0
y-axis,1.2115276586285877,0.06001593223653712,1.5689298952305816e-13,1.5608597915787162e-11,0.0,1.56105634138136e-11,0.0,1.5602817039238822e-11,0.0,1.561900349357418e-11,0.0,6.116167388186053e-14,0.0
y-axis,1.467799267622069,0.04570433564507621,1.4620395932138476e-13,1.561482576977937e-11,0.0,1.5616647625970276e-11,0.0,1.560936020120664e-11,0.0,1.5623935050733915e-11,0.0,5.480750707685584e-14,0.0
y-axis,1.7782794100389228,0.03546066420873494,1.15450386919072e-13,1.5631591031694294e-11,0.0,1.5628460173743964e-11,0.0,1.56225898150871e-11,0.0,1.563433053240083e-11,0.0,3.7961652647961666e-14,0.0
y-axis,2.154434690031882,0.028228604511614158,8.763152552317552e-14,1.6095932462315786e-11,0.0,1.5639707745990298e-11,0.0,1.563540605820167e-11,0.0,1.5644623960605876e-11,0.0,4.2672742863455645e-13,0.0
y-axis,2.610157215682536,0.022757184192806344,8.689936091649054e-14,3.44313562553828e-11,0.0,1.564081777992625e-11,0.0,1.563670149440918e-11,0.0,1.5645848795558228e-11,0.0,1.8761876931906983e-11,0.0
y-axis,3.1622776601683795,0.018163136888859822,1.1403645983568678e-13,1.3238429587095407e-10,0.0,1.563311883739781e-11,0.0,1.5627388362029217e-11,0.0,1.5639231344457645e-11,0.0,1.1671488402296993e-10,0.0
y-axis,3.831186849557285,0.014068106664908346,1.5179331873097411e-13,6.530263988983689e-09,0.0,1.5615722250921144e-11,0.0,1.5608816949662913e-11,0.0,1.5623860641689773e-11,0.0,6.5459333506282195e-09,0.0
